id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
485,0,良,8.57,1,100,100,100,0,0,150,150,150,150,4,604
486,0,优,10.76,2,0,0,0,0,0,500,500,0,0,0,0
487,0,优,13.67,10,215.05,50,23.89,50,50,6000,50,2580,308.95,10,148
488,0,良,17.58,6,265,100,44.17,55,55,1000,300,500,220.83,12,272
489,0,良,25.02,7,521.31,98,74.47,89,89,13500,10,12015,2348.99,17,109
490,0,优,9.96,1,0,0,0,0,0,0,0,0,0,0,0
491,0,良,12.39,5,178,50,44.5,0,0,1000,5,500,135.94,2,238
492,0,良,15.26,2,140,90,70,0,0,2003,1000,1001.5,950.75,6,247
493,1,良,16.81,1,0,0,0,0,0,4000,4000,0,0,4,117
494,0,良,10.94,1,50,50,50,0,0,300,300,145,145,4,504
